순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
250,국내도서,다정한 것이 살아남는다,K722733028,9.7912E+12,3400,디플롯,"브라이언 헤어.버네사 우즈 지음, 이민아 옮김, 박한선 감수","22,000","19,800","2,200",10%,"1,100점",20210726,42464
251,국내도서,해커스 보카 (Hackers Vocabulary),8965421039,9.78897E+12,18740,해커스어학연구소(Hackers),David Cho 지음,"16,900","15,210","1,690",10%,840점,20150615,94151
252,국내도서,욕망의 진화,8983712074,9.78898E+12,3180,사이언스북스,"데이비드 버스 지음, 전중환 옮김","22,000","19,800","2,200",10%,"1,100점",20070815,30149
253,국내도서,비밀의 보석 가게 마석관 3,K872839397,9.79116E+12,74830,길벗스쿨,"히로시마 레이코 지음, 사타케 미호 그림, 김정화 옮김","13,000","11,700","1,300",10%,650점,20221004,5565
254,국내도서,내세에는 남남이 좋겠어 6,K492839084,9.79114E+12,7830,㈜소미미디어,"코니시 아스카 지음, 박소현 옮김","5,000","4,500",500,10%,250점,20220930,7420
255,국내도서,자연스러운 인체 드로잉,K632838537,9.79116E+12,13600,동양북스(동양문고),소은 박경선 지음,"23,500","21,150","2,350",10%,"1,170점",20220812,16980
256,국내도서,이상한 집,K252839542,9.7912E+12,3830,리드비,"우케쓰 지음, 김은모 옮김","15,000","13,500","1,500",10%,750점,20221027,10392
257,국내도서,어떻게 말해줘야 할까 (60만 부 기념 한정판 리커버),8934943467,9.78893E+12,13590,김영사,"오은영 지음, 차상미 그림","17,500","15,750","1,750",10%,870점,20220720,9588
258,국내도서,테라피스트,K512835515,9.79119E+12,3840,모모,"B. A. 패리스 지음, 박설영 옮김","16,000","14,400","1,600",10%,800점,20211206,15323
259,국내도서,ADHD 우리 아이 어떻게 키워야 할까,8901264633,9.7889E+12,13590,웅진지식하우스,신윤미 지음,"18,000","16,200","1,800",10%,900점,20221005,9611
260,국내도서,튜브,8936434624,9.78894E+12,3810,창비,손원평 지음,"15,000","13,500","1,500",10%,750점,20220722,25098
261,국내도서,유럽 도시 기행 2,8965137705,9.78897E+12,3900,생각의길,유시민 지음,"17,500","15,750","1,750",10%,870점,20220709,36874
262,국내도서,백만장자 시크릿,8925536927,9.78893E+12,3320,알에이치코리아(RHK),"하브 에커 지음, 나선숙 옮김","16,000","14,400","1,600",10%,800점,20200713,31207
263,국내도서,모순,8998441012,9.789E+12,3810,쓰다,양귀자 지음,"13,000","11,700","1,300",10%,650점,20130401,61235
264,국내도서,시니맘의 오늘도 완밥 유아식,K762839034,9.79117E+12,13590,혜지원,시니맘(박지혜) 지음,"19,500","17,550","1,950",10%,970점,20221018,12118
265,국내도서,3년 후 부의 흐름이 보이는 경제지표 정독법,K602838150,9.79116E+12,13320,한즈미디어(한스미디어),김영익 지음,"18,500","16,650","1,850",10%,920점,20220825,7996
